short_name,name,type,location,tuition_fee_min_vnd,tuition_fee_max_vnd,majors_with_fee_in_excel,status,ghi_chu_dien_hoc_phi
HVC,Học viện Tư pháp,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HVQ,Học viện Quản lý Giáo dục,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HYD,Học viện Y – Dược học cổ truyền Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
KPH,Học viện Phòng không - Không quân,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
LAH,Trường Đại học Sĩ quan Lục quân 1,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
LCDF,Học viện Thiết kế và Thời trang London,international,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
LCH,Trường Đại học Sĩ quan Chính trị,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
MCA,Trường Đại học CMC,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
MSA,Học viện Khoa học Quân sự,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
MTA,Học viện Kỹ thuật Quân sự,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
MUCA,Trường Đại học Văn hóa - Nghệ thuật Quân đội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
NTU,Trường Đại học Nguyễn Trãi,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
NUAE,Trường Đại học Sư phạm Nghệ thuật Trung ương,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
PBH,Trường Đại học Sĩ quan Pháo binh,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
PDU,Trường Đại học Phương Đông,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
PHENA,Đại học Phenikaa,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
SKDA,Trường Đại học Sân khấu - Điện ảnh Hà Nội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TDU,Trường Đại học Thành Đô,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TKS,Trường Đại học Kiểm sát Hà Nội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TLU,Trường Đại học Thủy lợi,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TLU,Trường Đại học Thăng Long,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TMU,Trường Đại học Thương mại,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
TUU,Trường Đại học Công đoàn,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
UAD,Trường Đại học Mỹ thuật Công nghiệp,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
UFPF,Trường Đại học Phòng cháy chữa cháy,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
ULSA,Trường Đại học Lao động - Xã hội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
USTH,Trường Đại học Khoa học và Công nghệ Hà Nội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
UTC,Trường Đại học Giao thông Vận tải,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
UTM,Trường Đại học Công nghệ và Quản lý Hữu nghị,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
