id,name,code,field_group,canonical_group
1472,"Quản trị đô thị (thông minh & bền vững)","","Khác",Khác
1473,"Quản trị đô thị thông minh và bền vững","","Khác",Khác
1382,"Quản trị doanh nghiệp","","Khác",Khác
1776,"Quản trị doanh nghiệp (Theo định hướng ICAEW CFAB)","","Khác",Khác
1361,"Quản trị Doanh nghiệp và Công nghệ","","Khác",Khác
1362,"Quản trị Doanh nghiệp và Công nghệ (MET)","","Khác",Khác
1465,"Quản trị tài nguyên di sản","","Khác",Khác
1463,"Quản trị thư viện","","Khác",Khác
1466,"Quản trị và An ninh","","Khác",Khác
1467,"Quản trị và An ninh (MAS)","","Khác",Khác
1277,"Quy hoạch vùng và đô thị","","Khác",Khác
1878,"Răng- Hàm- Mặt","","Khác",Khác
1478,"Răng - Hàm - Mặt","","Khác",Khác
1479,"Răng - hàm mặt","","Khác",Khác
1482,"SP Công nghệ","","Khác",Khác
1499,"SP Địa lý","","Khác",Khác
1487,"SP Ngữ văn","","Khác",Khác
1491,"SP Tiếng Pháp","","Khác",Khác
1489,"SP Tin học","","Khác",Khác
1492,"SP Toán","","Khác",Khác
1494,"SP Toán học","","Khác",Khác
1665,"Tâm lí học","","Khác",Khác
1575,"Thẩm định giá","","Khác",Khác
1539,"Thanh nhạc","","Khác",Khác
1559,"Thông tin - thư viện","","Khác",Khác
1557,"Thông tin - Thư viện - Quản trị thư viện","","Khác",Khác
1558,"Thông tin - Thư viện - Thư viện và thiết bị trường học","","Khác",Khác
1560,"Thông tin – thư viện","","Khác",Khác
1563,"Thư viện và thiết bị trường học","","Khác",Khác
1562,"Thú y","","Khác",Khác
1779,"Thuế và Quản trị thuế (Theo định hướng ACCA)","","Khác",Khác
1579,"Thủy văn học","","Khác",Khác
1580,"Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV)","","Khác",Khác
1672,"Tổ chức hoạt động nghệ thuật","","Khác",Khác
1595,"Toán-Tin","","Khác",Khác
1588,"Toán - Tin","","Khác",Khác
1589,"Toán học","","Khác",Khác
1592,"Toán tin","","Khác",Khác
1671,"Tôn giáo học","","Khác",Khác
1599,"Triết học","","Khác",Khác
1600,"Triết học (Triết học Mác Lê-nin)","","Khác",Khác
1601,"Trung Quốc học","","Khác",Khác
1693,"Văn học","","Khác",Khác
1708,"Xuất bản, chuyên ngành Biên tập xuất bản","","Khác",Khác
1709,"Xuất bản, chuyên ngành Xuất bản điện tử","","Khác",Khác
1736,"Y học dự phòng","","Khác",Khác
